HiTemp,LowTemp,OutHum,Dew,Bar  ,Hi SolarRad. 
-0.6,-0.9,93.0,-1.9,1019.7,0.0
-0.9,-0.9,94.0,-1.8,1019.5,0.0
-0.9,-1.1,94.0,-1.7,1019.5,0.0
-0.9,-1.1,94.0,-1.9,1019.5,0.0
-1.1,-1.2,94.0,-2.1,1019.2,0.0
-1.1,-1.2,94.0,-2.0,1019.2,0.0
-1.1,-1.3,94.0,-2.1,1019.2,0.0
-1.3,-1.6,94.0,-2.5,1019.2,0.0
-1.6,-1.8,94.0,-2.7,1019.2,0.0
-1.8,-1.9,94.0,-2.8,1019.1,0.0
-1.9,-2.0,94.0,-2.8,1019.0,0.0
-1.9,-2.0,95.0,-2.7,1019.0,0.0
-1.7,-2.0,95.0,-2.5,1019.1,0.0
-1.8,-1.8,95.0,-2.5,1018.8,0.0
-1.4,-1.8,95.0,-2.1,1018.8,0.0
-1.4,-1.4,95.0,-2.1,1018.6,0.0
-1.4,-1.6,96.0,-2.2,1018.2,0.0
-1.6,-1.8,95.0,-2.5,1018.2,0.0
-1.8,-1.9,95.0,-2.6,1018.2,0.0
-1.8,-1.9,96.0,-2.4,1017.8,0.0
-1.8,-1.9,96.0,-2.5,1017.8,0.0
-1.9,-1.9,96.0,-2.5,1017.7,0.0
-1.8,-1.9,96.0,-2.3,1017.9,0.0
-1.4,-1.8,96.0,-2.0,1017.9,9.0
-1.4,-1.4,96.0,-1.9,1017.9,11.0
-0.9,-1.3,96.0,-1.5,1017.7,18.0
-0.6,-0.9,96.0,-1.1,1017.7,25.0
0.1,-0.6,96.0,-0.5,1017.2,100.0
0.8,0.1,97.0,0.4,1017.5,111.0
1.6,0.8,97.0,1.2,1017.5,153.0
3.6,1.6,97.0,3.2,1017.3,190.0
4.6,3.7,97.0,4.2,1017.0,183.0
5.5,4.6,97.0,5.1,1017.0,187.0
6.4,5.5,94.0,5.5,1016.8,222.0
6.8,6.4,84.0,4.3,1016.7,222.0
7.3,6.8,81.0,4.3,1016.7,259.0
8.1,7.3,77.0,4.3,1016.4,273.0
9.0,8.1,75.0,4.8,1016.3,297.0
9.7,9.0,74.0,5.3,1016.3,326.0
10.4,9.7,70.0,5.1,1016.1,345.0
11.2,10.4,67.0,5.3,1015.6,354.0
12.7,11.2,61.0,5.3,1015.6,352.0
13.4,12.7,59.0,5.6,1015.2,399.0
13.7,13.4,56.0,5.0,1014.6,421.0
13.7,13.5,54.0,4.4,1014.6,308.0
14.0,13.4,51.0,4.0,1014.3,422.0
14.3,14.1,49.0,3.8,1013.9,336.0
14.3,14.2,44.0,2.2,1013.9,283.0
14.7,14.4,47.0,3.5,1013.8,252.0
15.8,14.8,39.0,1.7,1013.4,491.0
16.2,15.7,39.0,2.2,1013.4,486.0
16.7,16.2,38.0,2.3,1013.2,498.0
16.8,16.7,37.0,1.9,1012.5,494.0
16.7,16.2,37.0,1.5,1012.5,435.0
16.7,16.2,35.0,1.1,1012.3,501.0
17.0,16.7,34.0,1.0,1012.3,510.0
17.0,16.4,35.0,0.9,1012.3,496.0
17.1,16.2,38.0,2.6,1012.0,501.0
17.1,16.7,30.0,-0.9,1011.6,433.0
17.5,16.8,29.0,-0.9,1011.6,500.0
17.6,16.9,32.0,0.7,1011.0,584.0
17.7,17.3,28.0,-1.4,1010.4,472.0
17.3,17.1,28.0,-1.4,1010.4,391.0
17.7,17.2,29.0,-0.6,1010.1,412.0
17.7,17.3,32.0,0.5,1009.5,385.0
17.4,17.1,31.0,-0.2,1009.5,243.0
17.6,17.0,29.0,-0.7,1009.3,297.0
17.9,17.6,28.0,-1.0,1008.8,326.0
17.8,17.7,28.0,-1.0,1008.8,234.0
18.2,17.8,29.0,-0.2,1008.7,421.0
18.6,18.2,28.0,-0.5,1008.2,378.0
18.3,17.5,30.0,-0.3,1008.2,171.0
17.5,17.4,29.0,-0.8,1008.0,134.0
17.5,17.2,31.0,-0.1,1007.8,97.0
17.2,17.1,32.0,0.2,1007.8,76.0
17.1,17.1,32.0,0.2,1007.5,77.0
17.2,17.1,33.0,0.7,1007.2,86.0
17.2,17.2,33.0,0.7,1007.2,74.0
17.2,17.1,35.0,1.5,1007.1,53.0
